geneID	A1AbRi	A5AbRi	A9AbRi	A2CRi	A6CRi	A10CRi	A3AbTo	A7AbTo	A11AbTo	A4CTo	A8CTo	A12CTo
ENSRNOG00000016769	0.248464351	0.283969706	0.549234859	0	0.196292778	0.579339579	0.381834339	0.324491133	0.340894193	0.572922715	0.158273282	0.218138856
ENSRNOG00000050425	0.135010967	0.096439953	0.114786208	0	0	0.121077882	0.103740885	0	0.102908692	0.055592087	0.21500699	0.11853265
ENSRNOG00000028749	4.321115385	5.542882111	5.614200415	4.667691185	4.519658302	6.112956456	10.82603459	8.519623526	6.656906045	9.698228398	8.722953437	7.400417712
ENSRNOG00000048146	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033433	1.289350036	0.886243546	0.848007089	1.235613431	0.864863791	1.309007041	1.551507787	1.727559384	2.206606739	1.542622339	1.510925686	2.157174544
ENSRNOG00000045885	1.027473169	2.201809226	0.873556801	3.479099779	2.299897044	0.767865241	0.526332432	0.419333211	0.391582709	0.564096175	0.409066607	0.601378887
ENSRNOG00000025982	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047780	0.363896748	0.259935811	0	0	0.28748713	0	1.118456417	0	0	0.299676093	0.86926654	0
ENSRNOG00000049243	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048042	0	0.029202853	0.046344344	0.013843112	0.021532096	0.036663431	0.18848183	0.111233307	0.062323287	0.145892633	0.086807971	0.155535089
ENSRNOG00000046455	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046268	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023065	98.46191283	106.2980212	69.8658916	131.8442624	94.14026974	74.6988051	54.21130392	48.80978882	45.34276929	50.57593959	45.98141586	56.97476414
ENSRNOG00000022890	0	0.022695623	0	0	0	0	0.073241348	0.025934205	0.072653818	0	0	0
ENSRNOG00000024352	10.43884472	9.115731382	10.1235119	10.22432579	8.795326562	10.58263249	9.805832645	10.22038575	9.706822112	10.28952808	9.651283377	8.391269174
Novel00066	4.619383506	12.2363172	7.363867246	5.86558971	9.883855064	6.04138603	11.53581495	6.912644444	11.58998518	8.55934361	7.816214843	8.787089849
ENSRNOG00000003681	0.011421968	0.008158848	0	0.034808061	0	0.010243224	0	0.027969258	0.017412211	0.018812428	0.027284482	0.040111588
ENSRNOG00000033378	9.965474271	7.241769668	9.913653145	8.178228888	7.860564559	9.556300247	20.11412726	18.02341611	17.18953097	19.98056019	19.06919304	18.53170923
ENSRNOG00000048880	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000038686	24.69112774	42.02606603	28.20850453	20.26138573	41.72579639	34.42546364	23.09294442	18.95728803	20.08466849	25.38526231	21.10431322	23.47270458
ENSRNOG00000030163	0.980250165	0.94165426	1.063313455	0.446375066	0.747716891	2.091624796	5.012762577	5.352533833	5.178667112	4.036275967	5.006167826	5.044949151
ENSRNOG00000004278	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030925	0	0	0	0	0	0	0.075190347	0	0.074587183	0	0	0
ENSRNOG00000028189	0.128080982	0.182979563	0.5444717	0.065053745	0.354154632	0.28715767	0.492079817	0.261362588	0.292879459	0.316431585	0.254963605	0.224896962
ENSRNOG00000005587	101.6570721	105.7930394	91.72908181	131.2213518	100.9440342	85.77671999	99.69007036	104.4314979	100.0890439	98.42480651	99.81751348	103.10554
ENSRNOG00000005916	32.39672211	33.10995612	32.82126252	25.54498554	32.43123302	35.55484969	44.77307245	39.49890415	46.69331763	42.35111164	39.46988722	45.15021642
ENSRNOG00000012022	0.59462277	0.707910295	0.674063687	0.805374587	1.565887349	0.97763949	0.989952914	0.242677943	0.679854234	0.897753061	0.394560699	0.522048055
ENSRNOG00000011992	1.035741696	1.331716889	0.981225174	0.961946775	0.888397333	1.088085536	1.568965546	1.256045941	1.308261078	1.096654571	0.966097163	0.96128925
ENSRNOG00000006075	303.426319	302.4707624	330.9280228	315.0166709	289.2048789	327.9575714	297.8084595	293.3468772	300.608948	292.3727567	279.8841991	305.3911328
ENSRNOG00000049445	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000045991	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042030	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019895	270.7618646	400.5577096	310.7411714	385.8384911	367.0277256	311.9056643	212.7216953	212.3416245	221.8738139	203.1757207	202.6632849	212.4616936
ENSRNOG00000011065	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000039481	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014291	50.15228825	43.77557453	38.37898109	40.13911661	40.85460851	38.38296968	53.93839906	52.87197671	54.69542556	53.78313793	54.03046019	51.64009742
ENSRNOG00000050637	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029537	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019542	0.175327918	0.062619418	0.335393201	0.044525493	0.069256624	0.314468274	0.202079955	0.071554977	0	0.108289479	0.13960617	0.038482212
ENSRNOG00000004017	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010239	270.6647165	253.7024177	221.3280112	280.3501826	225.3618969	221.5155605	190.4182267	197.6229061	209.5830785	194.7945705	192.6828284	196.8354849
ENSRNOG00000018483	12.73111585	12.371859	10.70393951	10.54205903	11.43364108	10.59421268	14.03174962	11.83228665	11.40799527	11.89902837	12.42327984	10.94999751
